issue_id,type,status,resolution,component,priority,reporter,created,assigned,assignee,resolved,created.1,assigned.1,summary,description,affected_version,fixed_version,votes,watches,description_words,assingnee_count,comment_count,commenter,Surprising,Dormant,Blocker,Security,Performance,Breakage,commit_count,file_count,files
323,Bug,Closed,Fixed,,Trivial,Claus Ibsen,2008/02/10 11:21:45 +0100,null,Unassigned,2008/02/16 18:47:02 +0100,6.309224537,null,"['spring', 'jar', 'twice', 'camel', 'distro']","['download', 'latest', 'snapshot', 'apach', 'camel', 'zip', 'zip', 'file', 'contain', 'spring', 'jar', 'twice', 'camel', 'lib', 'camel', 'lib', 'optionali', 'spring', 'mandatori', 'option', 'btw', 'includ', 'old', 'version', 'common', 'log', 'jar', 'v', 'common', 'log']",1.3.0,1.3.0,0,0,34,0,2,2,0,0,0,0,0.0,0.0,0.0,0.0,
335,Improvement,Closed,Fixed,camel-mail,Major,Lars Heinemann,2008/02/15 14:09:12 +0100,2008/04/22 05:46:20 +0100,Claus Ibsen,2008/05/10 13:45:34 +0100,84.98358796,18.33280093,"['mail', 'compon', 'miss', 'configur', 'possibl']","['possibl', 'configur', 'behaviour', 'mail', 'compon', 'see', 'thread']",1.2.0; 1.3.0,1.4.0,0,0,18,1,20,3,0,0,0,0,0.0,0.0,16.0,70.0,components/camel-mail/src/main/java/org/apache/camel/component/mail/MailBinding.java;components/camel-mail/src/main/java/org/apache/camel/component/mail/MailConfiguration.java;components/camel-mail/src/main/java/org/apache/camel/component/mail/MailEndpoint.java;components/camel-mail/src/main/java/org/apache/camel/component/mail/MailUtils.java;components/camel-mail/src/main/resources/META-INF/services/org/apache/camel/component/imaps;components/camel-mail/src/test/java/org/apache/camel/component/mail/MailComponentTest.java;components/camel-mail/pom.xml;components/camel-mail/src/main/java/org/apache/camel/component/mail/MailConfiguration.java;components/camel-mail/src/main/java/org/apache/camel/component/mail/MailConsumer.java;components/camel-mail/src/main/java/org/apache/camel/component/mail/MailUtils.java;components/camel-mail/pom.xml;components/camel-mail/src/test/java/org/apache/camel/component/mail/MailComponentTest.java;components/camel-mail/src/test/java/org/apache/camel/component/mail/MailMessageTest.java;components/camel-mail/src/test/java/org/apache/camel/component/mail/MailRouteTest.java;components/camel-mail/src/test/java/org/apache/camel/component/mail/MimeMessageConsumeTest.java;components/camel-mail/src/test/java/org/apache/camel/component/mail/MultipleDestinationConsumeTest.java;components/camel-mail/src/test/resources/log4j.properties;components/camel-mail/src/test/java/org/apache/camel/component/mail/MailSubjectTest.java;components/camel-mail/src/main/java/org/apache/camel/component/mail/MailConfiguration.java;components/camel-mail/src/main/java/org/apache/camel/component/mail/MailConsumer.java;components/camel-mail/src/main/java/org/apache/camel/component/mail/JavaMailConnection.java;components/camel-mail/src/main/java/org/apache/camel/component/mail/MailBinding.java;components/camel-mail/src/main/java/org/apache/camel/component/mail/MailConfiguration.java;components/camel-mail/src/main/java/org/apache/camel/component/mail/MailConsumer.java;components/camel-mail/src/main/java/org/apache/camel/component/mail/MailEndpoint.java;components/camel-mail/src/main/java/org/apache/camel/component/mail/MailMessage.java;components/camel-mail/src/main/java/org/apache/camel/component/mail/MailProducer.java;components/camel-mail/src/main/java/org/apache/camel/component/mail/MailUtils.java;components/camel-mail/src/main/java/org/apache/camel/component/mail/MessageHeaderAccessException.java;components/camel-mail/src/main/java/org/apache/camel/component/mail/MessageHeaderNamesAccessException.java;components/camel-mail/src/main/java/org/apache/camel/component/mail/RuntimeMailException.java;components/camel-mail/src/test/java/org/apache/camel/component/mail/InvalidConfigurationTest.java;components/camel-mail/src/test/java/org/apache/camel/component/mail/MailProcessOnlyUnseenMessagesTest.java;components/camel-mail/src/test/java/org/apache/camel/component/mail/MailRouteTest.java;components/camel-mail/src/test/java/org/apache/camel/component/mail/MailSubjectTest.java;components/camel-mail/src/test/java/org/apache/camel/component/mail/MimeMessageConsumeTest.java;components/camel-mail/src/test/java/org/apache/camel/component/mail/MultipleDestinationConsumeTest.java;components/camel-mail/src/main/java/org/apache/camel/component/mail/MailConfiguration.java;components/camel-mail/src/main/java/org/apache/camel/component/mail/MailConsumer.java;components/camel-mail/src/test/java/org/apache/camel/component/mail/MailComponentTest.java;components/camel-mail/src/test/java/org/apache/camel/component/mail/MailFetchSizeTest.java;components/camel-mail/src/test/java/org/apache/camel/component/mail/MailFetchSizeZeroTest.java;components/camel-mail/src/main/java/org/apache/camel/component/mail/MailConverters.java;components/camel-mail/src/test/java/org/apache/camel/component/mail/MailProcessOnlyUnseenMessagesTest.java;components/camel-mail/src/main/java/org/apache/camel/component/mail/MailConfiguration.java;components/camel-mail/src/main/java/org/apache/camel/component/mail/MailConsumer.java;components/camel-mail/src/main/java/org/apache/camel/component/mail/MailMessage.java;components/camel-mail/src/main/java/org/apache/camel/component/mail/MailUtils.java;components/camel-mail/src/main/java/org/apache/camel/component/mail/MailConsumer.java;components/camel-mail/src/test/java/org/apache/camel/component/mail/MailProcessOnlyUnseenMessagesTest.java;components/camel-mail/src/test/java/org/apache/camel/component/mail/MimeMessageConsumeTest.java;components/camel-mail/src/main/java/org/apache/camel/component/mail/MailConfiguration.java;components/camel-mail/src/main/java/org/apache/camel/component/mail/MailBinding.java;components/camel-mail/src/main/java/org/apache/camel/component/mail/MailMessage.java;components/camel-mail/src/test/data/logo.jpeg;components/camel-mail/src/test/java/org/apache/camel/component/mail/MailAttachmentTest.java;components/camel-mail/src/main/java/org/apache/camel/component/mail/MailBinding.java;components/camel-mail/src/main/java/org/apache/camel/component/mail/MailConfiguration.java;components/camel-mail/src/main/java/org/apache/camel/component/mail/MailEndpoint.java;components/camel-mail/src/main/java/org/apache/camel/component/mail/MailProducer.java;components/camel-mail/src/test/java/org/apache/camel/component/mail/MailComponentTest.java;components/camel-mail/src/test/java/org/apache/camel/component/mail/MailSubjectTest.java;components/camel-mail/src/main/java/org/apache/camel/component/mail/JavaMailConnection.java;components/camel-mail/src/main/java/org/apache/camel/component/mail/MessageHeaderAccessException.java;components/camel-mail/src/main/java/org/apache/camel/component/mail/MessageHeaderNamesAccessException.java;components/camel-mail/src/main/java/org/apache/camel/component/mail/RuntimeMailException.java;components/camel-mail/src/test/java/org/apache/camel/component/mail/InvalidConfigurationTest.java;components/camel-mail/src/main/java/org/apache/camel/component/mail/MailConfiguration.java;components/camel-mail/src/main/java/org/apache/camel/component/mail/MailConsumer.java;components/camel-mail/src/test/java/org/apache/camel/component/mail/MailComponentTest.java;
410,Bug,Closed,Fixed,camel-core,Major,Dan Dudley,2008/03/28 20:51:00 +0100,2008/04/01 05:17:20 +0100,Claus Ibsen,2008/04/05 12:23:27 +0100,7.6475347220000005,4.295914352,"['except', 'handl', 'errorhandlersupport', 'class']","['configur', 'rout', 'builder', 'say', 'want', 'configur', 'two', 'except', 'let', 'say', 'nullpoint', 'except', 'say', 'bean', 'call', 'end', 'point', 'throw', 'nullpoint', 'think', 'nullpoint', 'polici', 'would', 'handl', 'except', 'well', 'see', 'sometim', 'sometim', 'due', 'map', 'keep', 'except', 'particular', 'order', 'anyway', 'could', 'chang', 'linkedhashmap', 'list', 'issu', 'class', 'org', 'apach', 'camel', 'processor', 'errorhandlersupport']",1.2.0; 1.3.0,1.4.0,0,0,80,1,14,2,0,0,0,0,0.0,0.0,2.0,12.0,camel-core/src/main/java/org/apache/camel/processor/exceptionpolicy/DefaultExceptionPolicyStrategy.java;camel-core/src/main/java/org/apache/camel/builder/DeadLetterChannelBuilder.java;camel-core/src/main/java/org/apache/camel/processor/DeadLetterChannel.java;camel-core/src/main/java/org/apache/camel/processor/ErrorHandlerSupport.java;camel-core/src/main/java/org/apache/camel/processor/exceptionpolicy/DefaultExceptionPolicyStrategy.java;camel-core/src/main/java/org/apache/camel/processor/exceptionpolicy/ExceptionPolicyStrategy.java;camel-core/src/test/java/org/apache/camel/builder/ErrorHandlerTest.java;camel-core/src/test/java/org/apache/camel/builder/ExceptionBuilderTest.java;camel-core/src/test/java/org/apache/camel/processor/DeadLetterChannelTest.java;camel-core/src/test/java/org/apache/camel/processor/ErrorHandlerSupportTest.java;camel-core/src/test/java/org/apache/camel/processor/exceptionpolicy/CustomExceptionPolicyStrategyTest.java;camel-core/src/test/java/org/apache/camel/processor/exceptionpolicy/DefaultExceptionPolicyStrategyTest.java;
697,Bug,Closed,Fixed,camel-core,Major,Claus Ibsen,2008/07/11 09:53:15 +0100,2008/07/11 09:53:15 +0100,Claus Ibsen,2008/07/11 10:23:31 +0100,0.021018519,0.021018519,"['transform', 'doesnt', 'propog', 'header']","['new', 'transform', 'dsl', 'propog', 'header', 'direct', 'four', 'transform', 'constant', 'london', 'mock', 'result', 'expect', 'header', 'exchang', 'direct', 'four', 'receiv', 'transform']",1.4.0,1.4.0,0,0,39,1,1,1,0,0,0,0,0.0,0.0,1.0,2.0,camel-core/src/main/java/org/apache/camel/processor/TransformProcessor.java;camel-core/src/test/java/org/apache/camel/processor/TransformProcessorWithHeaderTest.java;
714,Improvement,Closed,Fixed,,Major,Claus Ibsen,2008/07/14 07:26:10 +0100,2009/03/31 13:51:01 +0100,Claus Ibsen,2009/04/02 14:29:45 +0100,262.2941551,2.026898148,"['chang', 'default', 'deadletterchannel', 'strategi', 'camel']","['current', 'dlc', 'strategi', 'camel', 'retri', 'time', 'sec', 'delay', 'still', 'fail', 'move', 'log', 'warn', 'default', 'behavior', 'feasibl', 'end', 'user', 'fact', 'none', 'better', 'default', 'strategi', 'camel', 'also', 'forc', 'end', 'user', 'setup', 'strategi', 'start', 'improv', 'document', 'end', 'user', 'awar']",1.3.0; 1.4.0,2.0-M2,0,0,70,1,3,1,0,0,0,0,0.0,0.0,1.0,51.0,camel-core/src/main/java/org/apache/camel/builder/BuilderSupport.java;camel-core/src/main/java/org/apache/camel/builder/DefaultErrorHandlerBuilder.java;camel-core/src/main/java/org/apache/camel/impl/DefaultExchange.java;camel-core/src/main/java/org/apache/camel/model/ProcessorDefinition.java;camel-core/src/main/java/org/apache/camel/processor/DefaultErrorHandler.java;camel-core/src/test/java/org/apache/camel/builder/BuilderWithScopesTest.java;camel-core/src/test/java/org/apache/camel/builder/ErrorHandlerTest.java;camel-core/src/test/java/org/apache/camel/builder/ExceptionBuilderTest.java;camel-core/src/test/java/org/apache/camel/builder/ExceptionBuilderWithHandledExceptionTest.java;camel-core/src/test/java/org/apache/camel/builder/InterceptorBuilderWithEndTest.java;camel-core/src/test/java/org/apache/camel/builder/RouteBuilderTest.java;camel-core/src/test/java/org/apache/camel/issues/ExceptionTest.java;camel-core/src/test/java/org/apache/camel/issues/RomeksExceptionTest.java;camel-core/src/test/java/org/apache/camel/management/ExceptionWithManagementTest.java;camel-core/src/test/java/org/apache/camel/processor/BeanWithExceptionTest.java;camel-core/src/test/java/org/apache/camel/processor/DeadLetterChannelExceptionCausePropagatedTest.java;camel-core/src/test/java/org/apache/camel/processor/DefaultErrorHandlerExplicitConfiguredTest.java;camel-core/src/test/java/org/apache/camel/processor/DefaultErrorHandlerTest.java;camel-core/src/test/java/org/apache/camel/processor/MulticastStreamCachingTest.java;camel-core/src/test/java/org/apache/camel/processor/RedeliveryPolicyPerExceptionTest.java;camel-core/src/test/java/org/apache/camel/processor/ResequencerTest.java;camel-core/src/test/java/org/apache/camel/processor/StreamResequencerTest.java;camel-core/src/test/java/org/apache/camel/processor/StreamSourceContentBasedRouterTest.java;camel-core/src/test/java/org/apache/camel/processor/ThreadTest.java;camel-core/src/test/java/org/apache/camel/processor/TraceableUnitOfWorkTest.java;camel-core/src/test/java/org/apache/camel/processor/ValidatingProcessorTest.java;camel-core/src/test/java/org/apache/camel/processor/ValidationWithExceptionTest.java;camel-core/src/test/java/org/apache/camel/processor/ValidationWithHandlePipelineAndExceptionTest.java;camel-core/src/test/java/org/apache/camel/processor/ValidationWithInFlowExceptionTest.java;camel-core/src/test/java/org/apache/camel/processor/exceptionpolicy/DefaultExceptionPolicyStrategyUsingWhenTest.java;components/camel-cxf/src/test/resources/org/apache/camel/component/cxf/WsdlFirstBeans.xml;components/camel-cxf/src/test/resources/org/apache/camel/component/cxf/WsdlFirstBeansPayloadMode.xml;components/camel-jms/src/test/java/org/apache/camel/component/jms/JmsXMLRouteTest.java;components/camel-jms/src/test/java/org/apache/camel/component/jms/tx/AbstractTransactionTest.java;components/camel-jms/src/test/java/org/apache/camel/component/jms/tx/QueueToProcessorTransactionTest.java;components/camel-scala/src/test/scala/org/apache/camel/scala/dsl/InterceptorTest.scala;components/camel-spring/src/test/resources/org/apache/camel/spring/processor/onexception/RedeliveryPolicyRefTest.xml;components/camel-spring/src/test/resources/org/apache/camel/spring/processor/onexception/deadLetterChannelHandledExampleTest.xml;components/camel-spring/src/test/resources/org/apache/camel/spring/processor/onexception/onExceptionNotNormalizedClassNameTest.xml;components/camel-spring/src/test/resources/org/apache/camel/spring/processor/onexception/onExceptionSubRouteTest.xml;components/camel-spring/src/test/resources/org/apache/camel/spring/xml/buildCustomProcessor.xml;components/camel-spring/src/test/resources/org/apache/camel/spring/xml/buildCustomProcessorWithFilter.xml;components/camel-spring/src/test/resources/org/apache/camel/spring/xml/buildDynamicRecipientList.xml;components/camel-spring/src/test/resources/org/apache/camel/spring/xml/buildIdempotentConsumer.xml;components/camel-spring/src/test/resources/org/apache/camel/spring/xml/buildRouteWithInterceptor.xml;components/camel-spring/src/test/resources/org/apache/camel/spring/xml/buildSimpleRoute.xml;components/camel-spring/src/test/resources/org/apache/camel/spring/xml/buildSimpleRouteWithChoice.xml;components/camel-spring/src/test/resources/org/apache/camel/spring/xml/buildSimpleRouteWithHeaderPredicate.xml;components/camel-spring/src/test/resources/org/apache/camel/spring/xml/buildSplitter.xml;components/camel-spring/src/test/resources/org/apache/camel/spring/xml/buildStaticRecipientList.xml;components/camel-spring/src/test/resources/org/apache/camel/spring/xml/buildWireTap.xml;
723,Improvement,Closed,Fixed,camel-cxf,Major,Claus Ibsen,2008/07/15 12:04:34 +0100,2008/07/15 12:04:34 +0100,Willem Jiang,2008/08/26 10:00:01 +0100,41.91350694,41.91350694,"['cxf', 'wrapper', 'unwrapp', 'camel', 'cxf', 'smarter']","['willem', 'know', 'see', 'chat', 'log', 'juli', 'basic', 'getbodi', 'smart', 'kind', 'situat', 'use', 'cxf']",1.4.0,1.5.0,0,0,24,1,7,2,0,0,0,0,0.0,0.0,3.0,11.0,components/camel-cxf/pom.xml;components/camel-cxf/src/main/java/org/apache/camel/component/cxf/CamelInvoker.java;components/camel-cxf/src/test/java/org/apache/camel/component/cxf/CxfNonWrapperTest.java;components/camel-cxf/src/test/java/org/apache/camel/non_wrapper/PersonProcessor.java;components/camel-cxf/src/test/java/org/apache/camel/wsdl_first/PersonProcessor.java;components/camel-cxf/src/test/resources/org/apache/camel/component/cxf/nonWrapperProcessor.xml;components/camel-cxf/src/test/resources/person-non-wrapper.wsdl;components/camel-cxf/pom.xml;components/camel-cxf/src/test/resources/person-non-wrapper-binding.xml;components/camel-cxf/src/test/resources/person-non-wrapper.wsdl;components/camel-cxf/src/test/java/org/apache/camel/non_wrapper/PersonProcessor.java;
839,Improvement,Closed,Fixed,camel-core,Minor,Claus Ibsen,2008/08/21 10:43:47 +0100,2008/08/21 10:43:47 +0100,Claus Ibsen,2008/08/23 09:55:24 +0100,1.966400463,1.966400463,"['type', 'convert', 'possibl', 'convert', 'log', 'warn']","['end', 'user', 'rout', 'work', 'troubl', 'figur', 'problem', 'could', 'fact', 'type', 'convert', 'fail', 'reason', 'trace', 'log', 'add', 'debug', 'log', 'type', 'convert', 'stuff', 'especi', 'case', 'cant', 'convert', 'anoth', 'ticket', 'type', 'convert', 'fail', 'instead', 'return', 'null', 'etc']",1.5.0,1.5.0,0,0,70,1,3,1,1,0,0,0,0.0,0.0,3.0,20.0,camel-core/src/main/java/org/apache/camel/impl/converter/DefaultTypeConverter.java;camel-core/src/main/java/org/apache/camel/TypeConverter.java;camel-core/src/main/java/org/apache/camel/impl/DefaultLifecycleStrategy.java;camel-core/src/main/java/org/apache/camel/impl/converter/DefaultTypeConverter.java;camel-core/src/main/java/org/apache/camel/management/InstrumentationLifecycleStrategy.java;camel-core/src/main/java/org/apache/camel/spi/BrowsableEndpoint.java;camel-core/src/main/java/org/apache/camel/spi/DataFormat.java;camel-core/src/main/java/org/apache/camel/spi/ErrorHandlerWrappingStrategy.java;camel-core/src/main/java/org/apache/camel/spi/ExchangeConverter.java;camel-core/src/main/java/org/apache/camel/spi/HeaderFilterStrategy.java;camel-core/src/main/java/org/apache/camel/spi/InstrumentationAgent.java;camel-core/src/main/java/org/apache/camel/spi/Language.java;camel-core/src/main/java/org/apache/camel/spi/LanguageResolver.java;camel-core/src/main/java/org/apache/camel/spi/LifecycleStrategy.java;camel-core/src/main/java/org/apache/camel/spi/Provider.java;camel-core/src/main/java/org/apache/camel/spi/RouteContext.java;camel-core/src/main/java/org/apache/camel/spi/Synchronization.java;camel-core/src/main/java/org/apache/camel/spi/TypeConverterAware.java;camel-core/src/main/java/org/apache/camel/spi/UnitOfWork.java;camel-core/src/main/java/org/apache/camel/impl/converter/DefaultTypeConverter.java;
1090,Bug,Closed,Fixed,camel-core,Major,Gary Tully,2008/11/14 16:28:52 +0100,2008/11/14 16:28:52 +0100,Gary Tully,2008/11/14 16:30:23 +0100,0.0010532410000000001,0.001053241,"['throughputlogg', 'incorrect', 'report', 'durat']","['apach', 'camel', 'load', 'test', 'mponent', 'info', 'aset', 'mydataset', 'producedelay', 'sent', 'messag', 'far', 'last', 'group', 'took', 'milli', 'messag', 'per', 'second', 'averag', 'throughputlogg', 'use', 'dataset', 'reset', 'durat', 'report']",1.5.0,1.6.0; 2.0-M1,0,0,38,1,4,3,1,0,0,0,0.0,0.0,1.0,2.0,camel-core/src/main/java/org/apache/camel/processor/ThroughputLogger.java;camel-core/src/test/java/org/apache/camel/processor/ThroughPutLoggerTest.java;
1195,Improvement,Closed,Fixed,camel-core,Major,Claus Ibsen,2008/12/18 06:17:16 +0100,2008/12/18 06:17:16 +0100,Claus Ibsen,2008/12/26 11:35:19 +0100,8.220868056,8.220868056,"['file', 'compon', 'exclus', 'read', 'lock', 'strategi', 'use', 'renam']","['see', 'camel', 'end', 'user', 'problem', 'read', 'lock', 'grant', 'ioexcept', 'thrown', 'support', 'strategi', 'ftp', 'consum', 'tri', 'renam', 'file', 'also', 'allow', 'nice', 'uri', 'option', 'select', 'strategi', 'nio', 'lock', 'renam']",1.5.0; 1.6.0,2.0-M1,0,0,73,1,9,3,0,0,0,0,0.0,1.0,6.0,22.0,camel-core/src/test/java/org/apache/camel/component/file/FileExclusiveReadRenameStrategyTest.java;camel-core/src/test/java/org/apache/camel/component/file/FileExclusiveReadRenameStrategyTest.java;components/camel-mail/pom.xml;camel-core/src/test/java/org/apache/camel/component/file/FileExclusiveReadRenameStrategyTest.java;camel-core/src/main/java/org/apache/camel/component/file/ExclusiveReadLockStrategy.java;camel-core/src/main/java/org/apache/camel/component/file/strategy/FileLockExclusiveReadLockStrategy.java;camel-core/src/main/java/org/apache/camel/component/file/strategy/FileRenameExclusiveReadLockStrategy.java;camel-core/src/main/java/org/apache/camel/component/file/strategy/FileLockExclusiveReadLockStrategy.java;camel-core/src/main/java/org/apache/camel/component/file/ExclusiveReadLockStrategy.java;camel-core/src/main/java/org/apache/camel/component/file/FileConsumer.java;camel-core/src/main/java/org/apache/camel/component/file/FileEndpoint.java;camel-core/src/main/java/org/apache/camel/component/file/strategy/FileLockExclusiveReadLockStrategy.java;camel-core/src/main/java/org/apache/camel/component/file/strategy/FileProcessStrategyFactory.java;camel-core/src/main/java/org/apache/camel/component/file/strategy/FileProcessStrategySupport.java;camel-core/src/main/java/org/apache/camel/component/file/strategy/FileRenameExclusiveReadLockStrategy.java;camel-core/src/main/java/org/apache/camel/component/mock/MockEndpoint.java;camel-core/src/main/java/org/apache/camel/impl/ScheduledPollConsumer.java;camel-core/src/test/java/org/apache/camel/component/file/FileExclusiveReadManuelTest.java;camel-core/src/test/java/org/apache/camel/component/file/FileExclusiveReadNoneStrategyTest.java;camel-core/src/test/java/org/apache/camel/component/file/FileExclusiveReadRenameStrategyTest.java;camel-core/src/test/java/org/apache/camel/component/file/FileExclusiveReadTest.java;camel-core/src/test/resources/log4j.properties;
1247,Bug,Closed,Fixed,camel-ftp,Major,Paddy Daly,2009/01/12 13:18:20 +0100,2009/01/12 13:29:07 +0100,Claus Ibsen,2009/01/14 06:05:12 +0100,1.6992129630000001,1.691724537,"['sftp', 'poll', 'list', 'directori', 'error']",[],2.0.0,2.0-M1,0,0,4,1,19,2,0,0,0,0,0.0,0.0,4.0,8.0,components/camel-ftp/src/main/java/org/apache/camel/component/file/remote/SftpConsumer.java;components/camel-ftp/src/main/java/org/apache/camel/component/file/remote/SftpConsumer.java;components/camel-ftp/src/main/java/org/apache/camel/component/file/remote/SftpConsumer.java;components/camel-ftp/src/main/java/org/apache/camel/component/file/remote/FtpConsumer.java;components/camel-ftp/src/main/java/org/apache/camel/component/file/remote/FtpRemoteFileOperations.java;components/camel-ftp/src/main/java/org/apache/camel/component/file/remote/SftpConsumer.java;components/camel-ftp/src/main/java/org/apache/camel/component/file/remote/SftpRemoteFileOperations.java;components/camel-ftp/src/test/java/org/apache/camel/component/file/remote/FtpConsumerWithNoFileOptionTest.java;
